runbook name,description
AWSConfigRemediation-DeleteAPIGatewayStage,"AWSConfigRemediation-DeleteAPIGatewayStage: The AWSConfigRemediation-DeleteAPIGatewayStage runbook deletes a stage from an Amazon API Gateway. This runbook can be used when you need to remove an unused or outdated API Gateway stage, such as for cleaning up resources or restricting access. It should be run in the same AWS region as the API Gateway, and AWS Config must be enabled there for the runbook to function. Overall, this automation removes unneeded API Gateway stages to optimize costs and security."
AWSConfigRemediation-EnableAPIGatewayTracing,"AWSConfigRemediation-EnableAPIGatewayTracing: This runbook enables tracing on an Amazon API Gateway stage. It modifies the stage to turn on tracing. This runbook should be used when you want to troubleshoot issues or monitor performance for an API Gateway stage, as tracing provides detailed logs and metrics. The runbook relies on AWS Config being enabled in the region, since AWS Config provides the required permissions to modify the API Gateway stage. Enabling tracing can help debug issues and monitor performance for API Gateway, so this runbook automates that process across stages."
AWSConfigRemediation-UpdateAPIGatewayMethodCaching,"AWSConfigRemediation-UpdateAPIGatewayMethodCaching: It updates the cache settings for API methods in Amazon API Gateway. This runbook modifies the cache TTL setting for API methods to comply with AWS Config rules. It should be used when API methods need to be reconfigured to enable caching for improved performance. Based on the context, this runbook specifically targets the cache method configuration for API Gateway stage resources to adhere to AWS best practices or regulatory requirements. The runbook automates updating API method cache settings, reducing manual efforts to reconfigure APIs."
AWSSupport-TroubleshootAWSBatchJob,"AWSSupport-TroubleshootAWSBatchJob: This runbook troubleshoots issues that prevent an AWS Batch job from progressing from RUNNABLE to STARTING status in AWS Batch. It checks compute environment state, resource allocation, permissions, and integration with Amazon ECS to identify why a job is stuck. This runbook should be used when AWS Batch jobs are stuck in RUNNABLE state to diagnose and resolve underlying issues. It must be run in the same region as the target job and works for jobs on Amazon ECS, AWS Fargate or Amazon EC2. For Amazon EKS jobs, it exits. If container instances fail to register with Amazon ECS, it triggers the AWSSupport-TroubleshootECSContainerInstance runbook for further diagnosis."
AWS-DeleteCloudFormationStack,"AWS-DeleteCloudFormationStack: It deletes an AWS CloudFormation stack in the target AWS account. This runbook should be used when you need to remove an existing CloudFormation stack that is no longer required. It can help automate the deletion of CloudFormation stacks across accounts and regions. Consider using this runbook when cleaning up old stacks, consolidating stacks, or removing stacks created for testing. The runbook takes the stack name and AWS region as input parameters. It uses the AWS SDK to call the DeleteStack API to delete the target stack. This automates the manual process of deleting CloudFormation stacks via the console or CLI. As noted in the description, this runbook targets AWS CloudFormation stacks specifically."
AWS-RunCfnLint,"AWS-RunCfnLint: This runbook that validates AWS CloudFormation templates. It uses the cfn-python-lint tool to check YAML and JSON templates against the AWS CloudFormation resource specification. This runbook performs additional validation like ensuring valid values for resource properties. If validation fails, the runbook fails and outputs the linter error message. This runbook helps validate CloudFormation templates before deployment. It should be used when creating new templates or updating existing ones to catch issues early. RunCfnLint can help avoid template creation errors and speed up development cycles."
AWSSupport-TroubleshootCFNCustomResource,"AWSSupport-TroubleshootCFNCustomResource: This runbook diagnoses issues with AWS CloudFormation stacks failing to create, update, or delete custom resources. It checks the service token and error message returned for the custom resource. After reviewing the custom resource details, it provides an explanation of the stack behavior and troubleshooting steps. Use this runbook when CloudFormation stacks encounter errors with custom resources to understand the cause and resolve the issues. It analyzes the custom resource configuration and runtime errors to pinpoint the problem. This runbook is useful for debugging CloudFormation stacks relying on custom resources."
AWS-UpdateCloudFormationStack,"AWS-UpdateCloudFormationStack: It updates an existing AWS CloudFormation stack using a template stored in an Amazon S3 bucket. This runbook automates updating the resources defined in a CloudFormation stack without having to manually make changes through the console. It should be used when you need to apply changes to the configuration of resources defined in a CloudFormation stack, like updating settings or replacing resources. This is useful for keeping your infrastructure up-to-date and avoiding manual steps. Specifically, it takes a CloudFormation template from S3 and uses it to update the target CloudFormation stack."
AWSConfigRemediation-EnableCloudFrontDefaultRootObject,"AWSConfigRemediation-EnableCloudFrontDefaultRootObject: This runbook configures the default root object for an Amazon CloudFront distribution. It sets the default root object, which is returned when the requested object is not found in the distribution. This runbook should be used when you want to customize the default object returned by CloudFront when a requested object is not found. It can help provide a custom 404 page or default homepage for your CloudFront distribution. Based on the context, this runbook specifically enables and configures the default root object setting for a CloudFront distribution to meet AWS best practices and compliance requirements."
AWSConfigRemediation-EnableCloudFrontAccessLogs,"AWSConfigRemediation-EnableCloudFrontAccessLogs: This runbook enables access logging for Amazon CloudFront distributions. It configures CloudFront to write access logs to an S3 bucket, providing increased visibility into viewer requests. This runbook should be used when you need to enable access logging for a CloudFront distribution, either for security monitoring, debugging, or compliance reasons. The runbook targets CloudFront distributions specifically, making it easy to enable this important logging capability. Given the context that it enables access logging for a specified CloudFront distribution, this runbook is useful for enabling an important troubleshooting and security feature."
